,index,outlier,score
465,5379,G(min),0.5012844395396513
466,5385,D(maj),0.514158891661946
467,5390,C(min),0.5412086816653819
468,5398,C(min),0.5412086816653819
469,5402,F(min),0.531675187881862
470,5420,D(maj),0.514158891661946
471,5421,D(maj),0.514158891661946
472,5428,D(maj),0.514158891661946
473,5435,D(maj),0.514158891661946
474,5441,G(min),0.5012844395396513
475,5442,G(min),0.5012844395396513
476,5451,F(min),0.531675187881862
477,5474,G(min),0.5012844395396513
478,5480,G(min),0.5012844395396513
479,5483,G(min),0.5012844395396513
480,5484,G(min),0.5012844395396513
481,5493,G(min),0.5012844395396513
482,5494,C(min),0.5412086816653819
483,5495,C(min),0.5412086816653819
484,5496,F(min),0.531675187881862
485,5497,F(min),0.531675187881862
486,5498,F(min),0.531675187881862
487,5499,G(min),0.5012844395396513
488,5501,vi,0.5211389004144182
489,5502,vi,0.5211389004144182
490,5504,D(maj),0.514158891661946
491,5505,D(maj),0.514158891661946
492,5516,F(min),0.531675187881862
493,5517,C(min),0.5412086816653819
494,5574,D(maj),0.514158891661946
495,5583,C(min),0.5412086816653819
496,5585,F(min),0.531675187881862
497,5606,G(min),0.5012844395396513
498,5615,vi,0.5211389004144182
499,5633,D(maj),0.514158891661946
500,5634,D(maj),0.514158891661946
501,5635,D(maj),0.514158891661946
502,5690,vi,0.5211389004144182
503,5726,F(min),0.531675187881862
504,5728,C(min),0.5412086816653819
505,5730,G(min),0.5012844395396513
506,5732,C(min),0.5412086816653819
507,5745,C(min),0.5412086816653819
508,5746,C(min),0.5412086816653819
509,5765,vi,0.5211389004144182
510,5783,F(min),0.531675187881862
511,5806,vi,0.5211389004144182
512,5818,F(min),0.531675187881862
513,5829,F(min),0.531675187881862
514,5845,G(min),0.5012844395396513
515,5846,G(min),0.5012844395396513
516,5849,D(maj),0.514158891661946
517,5852,vi,0.5211389004144182
518,5862,F(min),0.531675187881862
519,5865,G(min),0.5012844395396513
520,5922,vi,0.5211389004144182
521,5963,G(min),0.5012844395396513
522,5965,C(min),0.5412086816653819
523,5966,C(min),0.5412086816653819
524,5977,D(maj),0.514158891661946
525,5978,D(maj),0.514158891661946
526,5979,D(maj),0.514158891661946
527,5980,D(maj),0.514158891661946
528,5986,G(min),0.5012844395396513
529,5990,G(min),0.5012844395396513
530,6031,vi,0.5211389004144182
531,6032,vi,0.5211389004144182
532,6033,vi,0.5211389004144182
533,6043,G(min),0.5012844395396513
534,6044,G(min),0.5012844395396513
535,6051,G(min),0.5012844395396513
536,6054,D(maj),0.514158891661946
537,6055,D(maj),0.514158891661946
538,6105,D(maj),0.514158891661946
539,6141,G(min),0.5012844395396513
540,6143,G(min),0.5012844395396513
541,6191,D(maj),0.514158891661946
542,6192,D(maj),0.514158891661946
543,6193,D(maj),0.514158891661946
544,6194,D(maj),0.514158891661946
545,6195,D(maj),0.514158891661946
546,6196,D(maj),0.514158891661946
547,6198,G(min),0.5012844395396513
548,6200,G(min),0.5012844395396513
549,6201,G(min),0.5012844395396513
550,6207,D(maj),0.514158891661946
551,6213,D(maj),0.514158891661946
552,6288,F(min),0.531675187881862
553,6290,G(min),0.5012844395396513
554,6338,F(min),0.531675187881862
555,6339,F(min),0.531675187881862
556,6340,F(min),0.531675187881862
557,6341,F(min),0.531675187881862
558,6342,F(min),0.531675187881862
559,6343,F(min),0.531675187881862
560,6377,vi,0.5211389004144182
